repeat,mask_source,strategy,features,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
10,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-2.2810590903026213,1.0,0.75,1.0,0.5,0.75,0.6666666666666666,0.8,3,3,0,6
11,kmeans,Bayes + análisis,"H,G,R",6.928793200877864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,kmeans,Bayes + SFS,"H,S",3.4319523383998742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,kmeans,PCA + Bayes,"PC1,PC2,PC3",3.7649326256095437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,reference,Bayes + análisis,"a*,R,S",23.563131917991885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,reference,Bayes + SFS,G,5.094046257908412,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8,6,0,2,4
11,reference,PCA + Bayes,"PC1,PC2,PC3",-3.7975653761934574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,kmeans_linear_hue,Bayes + análisis,"a*,R,H",18.13081134848977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,kmeans_linear_hue,Bayes + SFS,"a*,S,B,R",16.176517093145964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",3.7237917715834907,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
12,kmeans,Bayes + análisis,"H,G,R",-1.698132284284707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,kmeans,Bayes + SFS,"H,S",-0.519366174731152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,kmeans,PCA + Bayes,"PC1,PC2,PC3",0.6723263397236856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,reference,Bayes + análisis,"a*,S,R",1.707604063216924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,reference,Bayes + SFS,H,-5.30861732635359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,reference,PCA + Bayes,"PC1,PC2,PC3",-2.1795939415667154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,kmeans_linear_hue,Bayes + análisis,"a*,G,R",3.4431654218271186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,kmeans_linear_hue,Bayes + SFS,"a*,S,B,R",4.357243831107269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-0.3119975905764729,0.9444444444444444,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
13,kmeans,Bayes + análisis,"H,G,R",-1.0334685145819487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,kmeans,Bayes + SFS,"H,S,V,R,B",-3.9102599314773574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,kmeans,PCA + Bayes,"PC1,PC2,PC3",-0.9132966217868379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,reference,Bayes + análisis,"a*,S,R",-41.56052140796466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,reference,Bayes + SFS,G,-5.212498545291359,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333333,0.75,0.8571428571428571,4,2,0,6
13,reference,PCA + Bayes,"PC1,PC2,PC3",-8.602829512590311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,kmeans_linear_hue,Bayes + análisis,"a*,H,R",-2.4950056757440766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,kmeans_linear_hue,Bayes + SFS,"a*,S,B,V,R,H",-4.753801225089543,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
13,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-0.1428902216172565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,kmeans,Bayes + análisis,"a*,G,R",3.109675933684863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,kmeans,Bayes + SFS,H,-1.8583277011783124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,kmeans,PCA + Bayes,"PC1,PC2,PC3",0.48033331883079056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,reference,Bayes + análisis,"a*,R,S",25.902200490708225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,reference,Bayes + SFS,H,-5.453785162760912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,reference,PCA + Bayes,"PC1,PC2,PC3",-0.784926464626647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,kmeans_linear_hue,Bayes + análisis,"a*,G,R",3.109675933684863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,kmeans_linear_hue,Bayes + SFS,a*,4.591521818429785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",2.844232315762123,1.0,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,6,0,3,3
15,kmeans,Bayes + análisis,"H,G,R",3.548526049050958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
15,kmeans,Bayes + SFS,"H,R,B,S",1.5745762014908884,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
15,kmeans,PCA + Bayes,"PC1,PC2,PC3",0.6704031175411216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
15,reference,Bayes + análisis,"H,S,R",-6.760725280891305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
15,reference,Bayes + SFS,G,-2.384512941666189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
15,reference,PCA + Bayes,"PC1,PC2,PC3",-1.6635614013456061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
15,kmeans_linear_hue,Bayes + análisis,"a*,R,H",10.043138654264737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
15,kmeans_linear_hue,Bayes + SFS,"R,G,B,V",2.3745520707235643,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
15,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3",0.5363901868843053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
