repeat,combination,postprocess,mask_source,strategy,features,corrected,introduced,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
10,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",0,0,-1.2337174704270915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_test_swap,Bayes + SFS,H,0,0,-1.8355805751396006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,0.2743338847716683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_fixed,Bayes + análisis,"H,G,R",0,0,-12.418627608220252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_fixed,Bayes + SFS,H,0,0,-9.285835381283562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-2.0100373295716047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_redesign,Bayes + análisis,"a*,S,R",0,0,-4.7491542602130234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_redesign,Bayes + SFS,H,0,0,-9.285835381283562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-2.0100373295716047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,0,-0.09316689873283224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,kmeans_linear_hue,Bayes + SFS,a*,0,0,-1.3776897645591184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,3,-2.253194445252904,1.0,0.75,1.0,0.5,0.75,0.6666666666666666,0.8,3,3,0,6
11,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,6.9554439377108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,kmeans,Bayes + SFS,"H,S",0,0,3.453782374719857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,3.7711493762640127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",0,0,6.9554439377108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_test_swap,Bayes + SFS,"H,S",0,0,3.453782374719857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,3.7711493762640127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_fixed,Bayes + análisis,"H,G,R",0,0,4.471155909834435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_fixed,Bayes + SFS,"H,S",0,0,0.7843329043547715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-3.7711564189235407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_redesign,Bayes + análisis,"a*,R,S",0,0,23.618250273893338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,reference_redesign,Bayes + SFS,G,0,2,5.096277639670024,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8,6,0,2,4
11,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-3.7711564189235407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,0,18.235153286050387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,S,B",0,0,15.890307986940872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
11,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,2,3.763142088045433,0.9722222222222223,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,5
12,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,-1.6950372019531548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,kmeans,Bayes + SFS,"H,B",0,0,-1.0712596276013509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,0.39045726712633577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_test_swap,Bayes + análisis,"H,G,R",0,0,-1.6950372019531548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_test_swap,Bayes + SFS,"H,B",0,0,-1.0712596276013509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,0.39045726712633577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_fixed,Bayes + análisis,"H,G,R",0,0,-6.890551640954644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_fixed,Bayes + SFS,"H,B",0,0,-4.129754718392131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-2.1714801171622775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_redesign,Bayes + análisis,"a*,S,R",0,0,1.7319798197598457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_redesign,Bayes + SFS,H,0,0,-5.325151989205649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-2.1714801171622775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,0,4.751417717583245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,S,B",0,0,4.27096974493534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
12,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,1,-0.3020171319382201,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
13,RB,True,kmeans,Bayes + análisis,"a*,R,S",0,0,-2.56312828367075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,kmeans,Bayes + SFS,"H,G,S,B",0,0,-2.0409478880585628,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
13,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,-0.9675482069018253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_test_swap,Bayes + análisis,"a*,R,S",0,0,-2.56312828367075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_test_swap,Bayes + SFS,"H,G,S,B",1,0,-2.0409478880585628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,-0.9675482069018253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_fixed,Bayes + análisis,"a*,R,S",0,0,-41.02094834788082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_fixed,Bayes + SFS,"H,G,S,B",1,0,-39.20482361280756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-8.59072633776192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_redesign,Bayes + análisis,"a*,S,R",0,0,-41.02094834788082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,reference_redesign,Bayes + SFS,G,1,2,-5.193278517309221,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333333,0.75,0.8571428571428571,4,2,0,6
